# RLC
{'R_sense': 10, 'R_circuit': 10, 'C': 4.7e-07, 'L': 0.000221, 'Vpk': 0.6}
4.853174e+02,8.914354e-04,1.129506e-06,-1.473421e+00,1.755319e-03
4.955101e+02,9.090176e-04,1.995943e-06,-1.470465e+00,3.658848e-03
5.059168e+02,9.267328e-04,2.102180e-06,-1.469561e+00,1.206367e-03
5.165422e+02,9.443394e-04,1.620467e-06,-1.469422e+00,2.069079e-03
5.273907e+02,9.627869e-04,1.590690e-06,-1.467435e+00,1.810302e-03
5.384670e+02,9.820820e-04,2.758312e-06,-1.467121e+00,8.797233e-04
5.497760e+02,1.002627e-03,1.675899e-06,-1.464949e+00,2.421462e-03
5.613224e+02,1.020841e-03,2.854363e-06,-1.464025e+00,2.032586e-03
5.731114e+02,1.040414e-03,2.818488e-06,-1.462431e+00,2.003252e-03
5.851480e+02,1.061370e-03,2.521808e-06,-1.462357e+00,1.775666e-03
5.974374e+02,1.082644e-03,4.134244e-06,-1.460295e+00,3.035611e-03
6.099848e+02,1.102996e-03,2.038549e-06,-1.459312e+00,1.765384e-03
6.227958e+02,1.123914e-03,3.076547e-06,-1.458689e+00,2.086626e-03
6.358759e+02,1.146306e-03,1.742298e-06,-1.457226e+00,1.728186e-03
6.492306e+02,1.167718e-03,2.148917e-06,-1.455153e+00,2.038811e-03
6.628659e+02,1.191695e-03,2.922940e-06,-1.452956e+00,1.714851e-03
6.767875e+02,1.214009e-03,2.031178e-06,-1.454168e+00,1.579755e-03
6.910015e+02,1.238655e-03,3.815169e-06,-1.451470e+00,1.659839e-03
7.055140e+02,1.262389e-03,2.212110e-06,-1.450647e+00,2.758504e-03
7.203313e+02,1.287871e-03,1.453279e-06,-1.448990e+00,1.546798e-03
7.354598e+02,1.311972e-03,3.773528e-06,-1.447137e+00,1.330212e-03
7.509060e+02,1.336891e-03,2.408109e-06,-1.447904e+00,1.665125e-03
7.666767e+02,1.362784e-03,2.149941e-06,-1.445458e+00,2.388741e-03
7.827785e+02,1.389660e-03,1.380012e-06,-1.442594e+00,1.685093e-03
7.992185e+02,1.416819e-03,3.618488e-06,-1.441729e+00,1.700762e-03
8.160039e+02,1.443970e-03,3.600142e-06,-1.440296e+00,1.867889e-03
8.331417e+02,1.472599e-03,2.032296e-06,-1.439251e+00,2.074395e-03
8.506394e+02,1.500920e-03,2.798907e-06,-1.438297e+00,3.189732e-03
8.685047e+02,1.531482e-03,1.330675e-06,-1.435613e+00,1.384642e-03
8.867452e+02,1.559825e-03,3.630102e-06,-1.434323e+00,2.615710e-03
9.053687e+02,1.591416e-03,2.979150e-06,-1.432866e+00,2.208368e-03
9.243834e+02,1.622487e-03,2.807684e-06,-1.431331e+00,1.567151e-03
9.437974e+02,1.651834e-03,5.000008e-06,-1.430246e+00,1.760239e-03
9.636192e+02,1.686697e-03,2.937089e-06,-1.428742e+00,3.102005e-03
9.838573e+02,1.717958e-03,5.923575e-06,-1.426221e+00,2.334868e-03
1.004520e+03,1.752232e-03,3.395652e-06,-1.424962e+00,1.761907e-03
1.025617e+03,1.784646e-03,5.125773e-06,-1.423768e+00,1.511455e-03
1.047158e+03,1.821344e-03,3.206199e-06,-1.421082e+00,2.843065e-03
1.069150e+03,1.856400e-03,2.185986e-06,-1.419136e+00,2.332533e-03
1.091605e+03,1.892052e-03,5.774663e-06,-1.418375e+00,8.661984e-04
1.114531e+03,1.928649e-03,4.287900e-06,-1.416199e+00,1.394589e-03
