# RC-L
{'R_sense': 10, 'R_circuit': 10, 'C': 4.7e-07, 'L': 0.000221, 'Vpk': 0.6}
5.059168e+02,4.312003e-02,8.905268e-06,7.103239e-02,2.960323e-05
5.165422e+02,4.311372e-02,7.845693e-06,7.250303e-02,6.690259e-05
5.273907e+02,4.311391e-02,2.275709e-06,7.403710e-02,2.699886e-05
5.384670e+02,4.311197e-02,2.843138e-06,7.554339e-02,4.990232e-05
5.497760e+02,4.310675e-02,6.874115e-06,7.715618e-02,6.985226e-05
5.613224e+02,4.310257e-02,3.582996e-06,7.872398e-02,6.148056e-05
5.731114e+02,4.309857e-02,3.255735e-06,8.039238e-02,3.731691e-05
5.851480e+02,4.309302e-02,2.981340e-06,8.206212e-02,6.870172e-05
5.974374e+02,4.308459e-02,5.721224e-06,8.376220e-02,8.498206e-05
6.099848e+02,4.308125e-02,4.129194e-06,8.547215e-02,3.229652e-05
6.227958e+02,4.307530e-02,2.505744e-06,8.730429e-02,4.462373e-05
6.358759e+02,4.307125e-02,8.273949e-06,8.908112e-02,6.237549e-05
6.492306e+02,4.306741e-02,2.167668e-06,9.095625e-02,5.117992e-05
6.628659e+02,4.305972e-02,6.765636e-06,9.287269e-02,8.856980e-05
6.767875e+02,4.305494e-02,9.089197e-06,9.477303e-02,6.836377e-05
6.910015e+02,4.304779e-02,2.563529e-06,9.674161e-02,5.932694e-05
7.055140e+02,4.304143e-02,4.981262e-06,9.873110e-02,4.878684e-05
7.203313e+02,4.303376e-02,9.902665e-06,1.007921e-01,4.344600e-05
7.354598e+02,4.302849e-02,2.852813e-06,1.028798e-01,3.627854e-05
7.509060e+02,4.301910e-02,3.573060e-06,1.050141e-01,9.637197e-05
7.666767e+02,4.300998e-02,3.294451e-06,1.072318e-01,1.155013e-04
7.827785e+02,4.300061e-02,7.034648e-06,1.094365e-01,6.756538e-05
7.992185e+02,4.299198e-02,5.679071e-06,1.117350e-01,7.995297e-05
8.160039e+02,4.298410e-02,5.709613e-06,1.140122e-01,5.491639e-05
8.331417e+02,4.297439e-02,5.115982e-06,1.163492e-01,8.717772e-05
8.506394e+02,4.296276e-02,5.981597e-06,1.187742e-01,8.318554e-05
8.685047e+02,4.295578e-02,4.688072e-06,1.212357e-01,5.480446e-05
8.867452e+02,4.294393e-02,3.413088e-06,1.237669e-01,9.899918e-05
9.053687e+02,4.293098e-02,8.373429e-06,1.263167e-01,9.783747e-05
9.243834e+02,4.292086e-02,9.314257e-06,1.289111e-01,6.920171e-05
9.437974e+02,4.290456e-02,5.466757e-06,1.315797e-01,8.507115e-05
9.636192e+02,4.289461e-02,7.081232e-06,1.342547e-01,9.671163e-05
9.838573e+02,4.288397e-02,3.255622e-06,1.370643e-01,6.145239e-05
1.004520e+03,4.286958e-02,4.033302e-06,1.399026e-01,7.065261e-05
1.025617e+03,4.285460e-02,6.145758e-06,1.427816e-01,6.465505e-05
1.047158e+03,4.284301e-02,5.924317e-06,1.457095e-01,5.357654e-05
1.069150e+03,4.282486e-02,4.761378e-06,1.487042e-01,8.415882e-05
1.091605e+03,4.281001e-02,6.300835e-06,1.517309e-01,5.967286e-05
1.114531e+03,4.279012e-02,6.102056e-06,1.548681e-01,1.246887e-04
1.137938e+03,4.277608e-02,8.414445e-06,1.580528e-01,1.228169e-04
1.161837e+03,4.275124e-02,5.587025e-06,1.613082e-01,7.157464e-05
1.186238e+03,4.273725e-02,5.292428e-06,1.645681e-01,9.793319e-05
1.211152e+03,4.271653e-02,1.765409e-06,1.679608e-01,6.662544e-05
1.236589e+03,4.269393e-02,6.757916e-06,1.714072e-01,1.472618e-04
1.262560e+03,4.267340e-02,6.429706e-06,1.748900e-01,5.332003e-05
1.289076e+03,4.265012e-02,7.423945e-06,1.784857e-01,1.566316e-04
1.316150e+03,4.262615e-02,1.159931e-05,1.821258e-01,1.445962e-04
1.343792e+03,4.260747e-02,1.301553e-05,1.857913e-01,1.114128e-04
1.372014e+03,4.258026e-02,7.075310e-06,1.896039e-01,6.849569e-05
1.400829e+03,4.255656e-02,1.528014e-05,1.934610e-01,1.624095e-04
1.430250e+03,4.252747e-02,1.767210e-05,1.974143e-01,1.886334e-04
1.460288e+03,4.249765e-02,8.612592e-06,2.013955e-01,1.360523e-04
1.490957e+03,4.247424e-02,6.385962e-06,2.054164e-01,1.074978e-04
1.522271e+03,4.244201e-02,1.202191e-05,2.096458e-01,1.069844e-04
1.554242e+03,4.241354e-02,7.802365e-06,2.138565e-01,1.518191e-04
1.586884e+03,4.238401e-02,2.082397e-05,2.181550e-01,1.903823e-04
1.620212e+03,4.234705e-02,2.200487e-05,2.225728e-01,2.825631e-04
1.654240e+03,4.231190e-02,7.648839e-06,2.270570e-01,2.165162e-04
1.688983e+03,4.227578e-02,1.090252e-05,2.316512e-01,1.957550e-04
