# RL-C + RL-C 1개
{'R_sense': 10, 'Vpk': 0.6, 'R1': 10, 'R2': 10, 'L1': 0.000221, 'L2': 0.000221, 'C1': 4.7e-07, 'C2': 4.7e-07}
1.000000e+02,1.754848e-02,1.246963e-06,7.490344e-03,6.359152e-05
1.021002e+02,1.754881e-02,1.282155e-06,7.647643e-03,1.156594e-04
1.042445e+02,1.754922e-02,1.071766e-06,7.839310e-03,5.958570e-05
1.064339e+02,1.754881e-02,1.143961e-06,7.926128e-03,1.047788e-04
1.086692e+02,1.754928e-02,1.556108e-06,8.149541e-03,1.086253e-04
1.109515e+02,1.755030e-02,1.399792e-06,8.293348e-03,1.367911e-04
1.132817e+02,1.755010e-02,1.299968e-06,8.492491e-03,1.427220e-04
1.156609e+02,1.755041e-02,8.092611e-07,8.700158e-03,1.274683e-04
1.180900e+02,1.755069e-02,8.436928e-07,8.834763e-03,9.234357e-05
1.205702e+02,1.755052e-02,1.296299e-06,9.066797e-03,9.464412e-05
1.231024e+02,1.755072e-02,1.254410e-06,9.179026e-03,8.862795e-05
1.256878e+02,1.754906e-02,1.316253e-06,9.454400e-03,9.413603e-05
1.283275e+02,1.754862e-02,1.723347e-06,9.633263e-03,8.847882e-05
1.310227e+02,1.754875e-02,1.438391e-06,9.859965e-03,9.505082e-05
1.337745e+02,1.754932e-02,1.871110e-06,1.002423e-02,6.273646e-05
1.365840e+02,1.754943e-02,1.565164e-06,1.021832e-02,5.488464e-05
1.394526e+02,1.754930e-02,1.187402e-06,1.045758e-02,6.964389e-05
1.423814e+02,1.754969e-02,2.026811e-06,1.064347e-02,9.800021e-05
1.453717e+02,1.755008e-02,1.485381e-06,1.090249e-02,8.052568e-05
1.484248e+02,1.754868e-02,1.351146e-06,1.112249e-02,1.194473e-04
1.515420e+02,1.754965e-02,1.332656e-06,1.135203e-02,7.265267e-05
1.547247e+02,1.754874e-02,1.153885e-06,1.157686e-02,1.001259e-04
1.579743e+02,1.754864e-02,1.012769e-06,1.187653e-02,9.216323e-05
1.612921e+02,1.754802e-02,1.201659e-06,1.212062e-02,5.709732e-05
1.646796e+02,1.754871e-02,9.887571e-07,1.236276e-02,7.830978e-05
1.681382e+02,1.754813e-02,1.422112e-06,1.264377e-02,8.180073e-05
1.716695e+02,1.754871e-02,9.337489e-07,1.287125e-02,8.757014e-05
1.752749e+02,1.754866e-02,1.090469e-06,1.316284e-02,5.294785e-05
1.789560e+02,1.754869e-02,1.407905e-06,1.344014e-02,1.065992e-04
1.827145e+02,1.754750e-02,1.533765e-06,1.376221e-02,5.320778e-05
1.865519e+02,1.754680e-02,1.160733e-06,1.398508e-02,6.142533e-05
1.904699e+02,1.754758e-02,1.417528e-06,1.427387e-02,6.264139e-05
1.944702e+02,1.754802e-02,1.493907e-06,1.457359e-02,5.295696e-05
1.985545e+02,1.754772e-02,1.038578e-06,1.486675e-02,5.873483e-05
2.027245e+02,1.754705e-02,8.491936e-07,1.522803e-02,7.508989e-05
2.069822e+02,1.754715e-02,1.559352e-06,1.556645e-02,6.010719e-05
2.113292e+02,1.754645e-02,1.650568e-06,1.588209e-02,6.715447e-05
2.157676e+02,1.754679e-02,1.340343e-06,1.622856e-02,8.188450e-05
2.202992e+02,1.754682e-02,9.296387e-07,1.659637e-02,9.725089e-05
2.249260e+02,1.754691e-02,1.390962e-06,1.692624e-02,8.434745e-05
2.296499e+02,1.754618e-02,1.420673e-06,1.728227e-02,7.008774e-05
2.344730e+02,1.754467e-02,1.232827e-06,1.765575e-02,9.075953e-05
2.393975e+02,1.754498e-02,1.387374e-06,1.795693e-02,5.248605e-05
2.444253e+02,1.754442e-02,1.886658e-06,1.839631e-02,8.031757e-05
2.495588e+02,1.754501e-02,1.103942e-06,1.876397e-02,9.719538e-05
2.548000e+02,1.754440e-02,1.005019e-06,1.915067e-02,1.004749e-04
2.601514e+02,1.754460e-02,2.514594e-06,1.952922e-02,1.280204e-04
2.656151e+02,1.754360e-02,2.498292e-06,1.995870e-02,1.059288e-04
2.711936e+02,1.754334e-02,2.085123e-06,2.039113e-02,4.024582e-05
2.768893e+02,1.754255e-02,1.592360e-06,2.080925e-02,6.026840e-05
2.827045e+02,1.754192e-02,2.962750e-06,2.122977e-02,7.502822e-05
2.886419e+02,1.754162e-02,1.534177e-06,2.170806e-02,7.225870e-05
2.947040e+02,1.754006e-02,2.251023e-06,2.215695e-02,1.035193e-04
3.008935e+02,1.754092e-02,1.617659e-06,2.262085e-02,1.418921e-04
3.072129e+02,1.754045e-02,1.672699e-06,2.312642e-02,1.119923e-04
3.136650e+02,1.753867e-02,1.630843e-06,2.358381e-02,1.208985e-04
3.202526e+02,1.754021e-02,2.094376e-06,2.414770e-02,7.909187e-05
3.269786e+02,1.753892e-02,3.355023e-06,2.458676e-02,1.106144e-04
3.338459e+02,1.753830e-02,2.142934e-06,2.515401e-02,1.059622e-04
3.408574e+02,1.753777e-02,2.417231e-06,2.565752e-02,6.969912e-05
3.480161e+02,1.753659e-02,1.414101e-06,2.622138e-02,6.892387e-05
3.553252e+02,1.753486e-02,1.461341e-06,2.674309e-02,1.127274e-04
3.627878e+02,1.753539e-02,2.626272e-06,2.728679e-02,1.511089e-04
3.704071e+02,1.753550e-02,2.119200e-06,2.791425e-02,1.037148e-04
3.781864e+02,1.753433e-02,1.892442e-06,2.847899e-02,1.106885e-04
3.861292e+02,1.753294e-02,2.089640e-06,2.907691e-02,6.183772e-05
3.942387e+02,1.753209e-02,2.136339e-06,2.969370e-02,1.032841e-04
4.025186e+02,1.753049e-02,1.593184e-06,3.034201e-02,1.131418e-04
4.109723e+02,1.753114e-02,2.451432e-06,3.097591e-02,1.272181e-04
4.196036e+02,1.752847e-02,2.387807e-06,3.155922e-02,1.210614e-04
4.284162e+02,1.752881e-02,1.776144e-06,3.226668e-02,8.405799e-05
4.374139e+02,1.752740e-02,2.567808e-06,3.296963e-02,9.733717e-05
4.466005e+02,1.752533e-02,3.282860e-06,3.366794e-02,1.129523e-04
4.559801e+02,1.752686e-02,2.764158e-06,3.434873e-02,1.065866e-04
4.655566e+02,1.752363e-02,2.198596e-06,3.510257e-02,6.868438e-05
4.753343e+02,1.752344e-02,2.575766e-06,3.586061e-02,1.016091e-04
4.853174e+02,1.752266e-02,3.338911e-06,3.659726e-02,1.070711e-04
4.955101e+02,1.752031e-02,3.070215e-06,3.734465e-02,8.847422e-05
5.059168e+02,1.751898e-02,1.993359e-06,3.816666e-02,7.972328e-05
5.165422e+02,1.751710e-02,3.041988e-06,3.895226e-02,8.089953e-05
5.273907e+02,1.751575e-02,1.676183e-06,3.977137e-02,8.267786e-05
5.384670e+02,1.751570e-02,3.934716e-06,4.059012e-02,1.204934e-04
5.497760e+02,1.751256e-02,5.883355e-06,4.146367e-02,7.683892e-05
5.613224e+02,1.751126e-02,3.140325e-06,4.230018e-02,1.645278e-04
